る,竒盽程璽更秖,畃程璽更秖,秅せ程璽更秖,瞒畃程璽更秖,筁,竒盽,畃,秅せ畃,瞒畃,そ砞﹚,1,2,3,4
1,0,370,316,349,1,240,0,30,0,1,360,0,30,0
2,0,314,246,392,2,240,0,30,0,2,360,0,30,0
3,0,344,374,416,3,240,0,30,0,3,360,0,30,0
4,0,302,286,385,4,240,0,30,0,4,330,0,100,0
5,0,408,378,441,5,240,0,30,0,5,330,0,100,0
6,308,398,359,438,6,240,0,30,0,6,330,0,100,0
7,376,280,284,436,7,240,0,30,0,7,330,0,100,0
8,277,354,280,431,8,240,0,30,0,8,330,0,100,0
9,405,308,302,430,9,240,0,30,0,9,330,0,100,0
10,0,332,291,435,10,240,0,30,0,10,330,0,100,0
11,0,358,355,438,11,240,0,30,0,11,315,0,175,0
12,0,310,289,306,12,240,0,30,0,12,315,0,175,0
,,,,,13,240,0,30,0,,,,,
,,,,,14,240,0,30,0,,,,,
,,,,,15,240,0,30,0,,,,,
,,,,,16,240,0,30,0,,,,,
,,,,,17,240,0,30,0,,,,,
,,,,,18,240,0,30,0,,,,,
,,,,,19,240,0,30,0,,,,,
,,,,,20,240,0,30,0,,,,,
,,,,,21,240,0,30,0,,,,,
,,,,,22,360,0,30,0,,,,,
,,,,,23,360,0,30,0,,,,,
,,,,,24,360,0,30,0,,,,,
