基本電費,超約罰金,線路補助費,總電費,更換契約週期(月),經常契約,半尖峰契約,週六半尖峰契約,離峰契約,更換對應契約週期(月),月份,經常最大負載量,半尖峰最大負載量,週六半最大負載量,離峰最大負載量,過去契約,經常契約,半尖峰契約,週六半尖峰,離峰契約,公司設定,1,2,3,4
778130,75566,351,854047,12.0,349.0,0.0,85.0,1.0,12,1.0,0.0,370.0,316.0,349.0,1.0,240.0,0.0,30.0,0.0,1.0,360.0,0.0,30.0,0.0
775900,77891,0,853791,6.0,348.0,0.0,87.0,1.0,6,2.0,0.0,314.0,246.0,392.0,2.0,240.0,0.0,30.0,0.0,2.0,360.0,0.0,30.0,0.0
763804,92686,406,856896,4.0,348.0,0.0,87.0,0.0,6,3.0,0.0,344.0,374.0,416.0,3.0,240.0,0.0,30.0,0.0,3.0,360.0,0.0,30.0,0.0
793662,71629,638,865929,3.0,344.0,1.0,105.0,0.0,4,4.0,0.0,302.0,286.0,385.0,4.0,240.0,0.0,30.0,0.0,4.0,330.0,0.0,100.0,0.0
774836,95397,3214.4400000000005,873447.44,2.0,344.0,0.0,83.0,1.0,4,5.0,0.0,408.0,378.0,441.0,5.0,240.0,0.0,30.0,0.0,5.0,330.0,0.0,100.0,0.0
764258,63390,85964.7,913612.7,1.0,338.0,1.0,112.0,1.0,4,6.0,308.0,398.0,359.0,438.0,6.0,240.0,0.0,30.0,0.0,6.0,330.0,0.0,100.0,0.0
,,,,,362.0,0.0,18.0,0.0,3,7.0,376.0,280.0,284.0,436.0,7.0,240.0,0.0,30.0,0.0,7.0,330.0,0.0,100.0,0.0
,,,,,360.0,0.0,29.0,0.0,3,8.0,277.0,354.0,280.0,431.0,8.0,240.0,0.0,30.0,0.0,8.0,330.0,0.0,100.0,0.0
,,,,,366.0,0.0,0.0,1.0,3,9.0,405.0,308.0,302.0,430.0,9.0,240.0,0.0,30.0,0.0,9.0,330.0,0.0,100.0,0.0
,,,,,332.0,0.0,124.0,0.0,3,10.0,0.0,332.0,291.0,435.0,10.0,240.0,0.0,30.0,0.0,10.0,330.0,0.0,100.0,0.0
,,,,,365.0,1.0,0.0,1.0,2,11.0,0.0,358.0,355.0,438.0,11.0,240.0,0.0,30.0,0.0,11.0,315.0,0.0,175.0,0.0
,,,,,346.0,1.0,69.0,1.0,2,12.0,0.0,310.0,289.0,306.0,12.0,240.0,0.0,30.0,0.0,12.0,315.0,0.0,175.0,0.0
,,,,,361.0,0.0,0.0,1.0,2,,,,,,13.0,240.0,0.0,30.0,0.0,,,,,
,,,,,345.0,1.0,77.0,1.0,2,,,,,,14.0,240.0,0.0,30.0,0.0,,,,,
,,,,,334.0,0.0,101.0,1.0,2,,,,,,15.0,240.0,0.0,30.0,0.0,,,,,
,,,,,332.0,1.0,1.0,0.0,2,,,,,,16.0,240.0,0.0,30.0,0.0,,,,,
,,,,,330.0,1.0,0.0,1.0,1,,,,,,17.0,240.0,0.0,30.0,0.0,,,,,
,,,,,327.0,0.0,197.0,0.0,1,,,,,,18.0,240.0,0.0,30.0,0.0,,,,,
,,,,,385.0,0.0,18.0,1.0,1,,,,,,19.0,240.0,0.0,30.0,0.0,,,,,
,,,,,324.0,0.0,181.0,1.0,1,,,,,,20.0,240.0,0.0,30.0,0.0,,,,,
,,,,,395.0,1.0,0.0,0.0,1,,,,,,21.0,240.0,0.0,30.0,0.0,,,,,
,,,,,306.0,1.0,181.0,0.0,1,,,,,,22.0,360.0,0.0,30.0,0.0,,,,,
,,,,,351.0,1.0,180.0,1.0,1,,,,,,23.0,360.0,0.0,30.0,0.0,,,,,
,,,,,319.0,0.0,0.0,1.0,1,,,,,,24.0,360.0,0.0,30.0,0.0,,,,,
,,,,,395.0,1.0,0.0,1.0,1,,,,,,,,,,,,,,,
,,,,,337.0,0.0,168.0,0.0,1,,,,,,,,,,,,,,,
,,,,,326.0,1.0,94.0,1.0,1,,,,,,,,,,,,,,,
,,,,,296.0,0.0,13.0,1.0,1,,,,,,,,,,,,,,,
